phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
8377781,https://sabisejergaerrsetanspesaiue2.pages.dev/,http://www.phishtank.com/phish_detail.php?phish_id=8377781,2023-11-28T19:39:05+00:00,yes,2023-11-28T19:53:16+00:00,yes,Other
8377761,https://docs.google.com/presentation/d/e/2PACX-1vQMxtNr_6CoYMWPsC4-zXPjZIpt0EWIbkwdmfhLkvJ22ztxYnWfdphGFPb6zkaoNa8Us3MODCtvWpx-/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8377761,2023-11-28T19:26:39+00:00,yes,2023-11-28T19:33:42+00:00,yes,Other
8377739,https://kicincbaccr3d0ma.webcindario.com/,http://www.phishtank.com/phish_detail.php?phish_id=8377739,2023-11-28T19:08:50+00:00,yes,2023-11-28T19:13:19+00:00,yes,Other
8377730,https://validarbac.webcindario.com/,http://www.phishtank.com/phish_detail.php?phish_id=8377730,2023-11-28T19:02:39+00:00,yes,2023-11-28T19:13:19+00:00,yes,Other
8377714,https://new.express.adobe.com/webpage/F7onVSR9w1NtY,http://www.phishtank.com/phish_detail.php?phish_id=8377714,2023-11-28T19:01:40+00:00,yes,2023-11-28T19:04:01+00:00,yes,Other
8377696,https://new.express.adobe.com/webpage/2mnHq6Lkf5h9N,http://www.phishtank.com/phish_detail.php?phish_id=8377696,2023-11-28T18:53:55+00:00,yes,2023-11-28T19:04:01+00:00,yes,Other
8377695,https://new.express.adobe.com/webpage/Srwm2NMc37Tdt,http://www.phishtank.com/phish_detail.php?phish_id=8377695,2023-11-28T18:53:43+00:00,yes,2023-11-28T19:04:01+00:00,yes,Other
8377692,https://new.express.adobe.com/webpage/V9Z0fsLjHJk26,http://www.phishtank.com/phish_detail.php?phish_id=8377692,2023-11-28T18:53:31+00:00,yes,2023-11-28T19:04:01+00:00,yes,Other
8377689,https://dfhf.webcindario.com/validacion/mailvalidation.html,http://www.phishtank.com/phish_detail.php?phish_id=8377689,2023-11-28T18:52:17+00:00,yes,2023-11-28T19:04:01+00:00,yes,Other
8377680,https://new.express.adobe.com/webpage/CHSXbED8mJhVI,http://www.phishtank.com/phish_detail.php?phish_id=8377680,2023-11-28T18:34:33+00:00,yes,2023-11-28T18:43:26+00:00,yes,Other
8377638,https://vehfvwefev.ulcraft.com/,http://www.phishtank.com/phish_detail.php?phish_id=8377638,2023-11-28T17:21:06+00:00,yes,2023-11-28T17:33:28+00:00,yes,Other
8377613,https://docs.google.com/presentation/d/e/2PACX-1vTG8-6DhcXA3c1JCGO6F0p08ALelvB7RMicNiGpzwptMrA433od6mlceTGuitr7Zu1i1tngTltflU1B/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8377613,2023-11-28T17:01:20+00:00,yes,2023-11-28T17:13:32+00:00,yes,Other
8377610,https://new.express.adobe.com/webpage/q2ut1vaR7IpWh,http://www.phishtank.com/phish_detail.php?phish_id=8377610,2023-11-28T16:55:22+00:00,yes,2023-11-28T17:04:33+00:00,yes,Other
8377606,https://docs.google.com/presentation/d/e/2PACX-1vRjWAyy_fP5a7IMox6tyglx-B4UEUehZNFMYgwdEZqeu1A9sNrUpMxi3EPM3dRYhff31EZfskk40Ecd/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8377606,2023-11-28T16:51:01+00:00,yes,2023-11-28T17:04:33+00:00,yes,Other
8377592,https://new.express.adobe.com/webpage/Qadn2Pot9zcB7,http://www.phishtank.com/phish_detail.php?phish_id=8377592,2023-11-28T16:36:36+00:00,yes,2023-11-28T16:53:09+00:00,yes,Other
